name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Boys & Girls Clubs of Central Iowa","Physical Location","Community Centers","1421 Walker St.","Des Moines",IA,50316.0,515.242.7925,"Eight local sites where K-12 students find a safe, supportive place after school and during the summer with structured programming and professional role models.",,"1421 Walker St., Des Moines, IA 50316",41.59759,-93.598036,1,rooftop,"1421 Walker St",,"Des Moines, IA 50316",1421,"Walker St",,,"Des Moines",IA,"Polk County",50316,US,"Statewide IA",gcod_usn9kakfq5j7szfartx5slk2car58,building_centroid
"Bridges of Iowa","Physical Location","Substance Abuse","Polk County Jail System / Admissions","Des Moines",IA,,515.494.8515,"Full range of substance abuse treatment services targeted toward those with limited access to options. Program lasts up to a year and includes treatment, transitional living, and outpatient care. Admissions: dcoughlin@bridgesofia.org.",,"Polk County Jail System / Admissions, Des Moines, IA",41.597236,-93.681734,1,street_center,"Polk Blvd",,"Des Moines, IA 50311",,"Polk Blvd",,,"Des Moines",IA,"Polk County",50311,US,"TIGER/Line® dataset from the US Census Bureau",gcod_ussc6rcdla9td5ja,
"Broadlawns Medical Center & Crisis Services","Physical Location","Medical Assistance","1801 Hickman Road","Des Moines",IA,50314.0,"515.282.2200, 515.283.4811","Offers a complete safety-net medical center (medical, dental, eye, emergency, pharmacy, mental health). Includes Mental Health Emergency Crisis Team (515.283.4811), Crisis Observation Center (515.282.5742), and New Connections Addiction Treatment (515.282.6610).",https://www.broadlawns.org,"1801 Hickman Road, Des Moines, IA 50314",41.616508,-93.641564,1,rooftop,"1801 Hickman Rd",,"Des Moines, IA 50314",1801,"Hickman Rd",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnjgsxdbs37bamau4458gxqs2h6e,building_centroid
"Capitol Hill Lutheran Church Clothes Closet","Physical Location",Clothing,"511 Des Moines Street","Des Moines",IA,50309.0,515.513.4222,"Clothes Closet distributes a variety of daily clothing items and essential household goods completely free of charge. Hours: Tuesday 1:30 PM-3:30 PM, Saturday 9:30 AM-11:30 AM.",,"511 Des Moines Street, Des Moines, IA 50309",41.591587,-93.611538,1,rooftop,"511 Des Moines St",,"Des Moines, IA 50309",511,"Des Moines St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnrbg3awle4y685deasdaxfvbzd3,building_centroid
"Caring Hands Altoona Food Pantry","Physical Location","Food Pantries","602 3rd St SW",Altoona,IA,50009.0,515.967.4533,"Serves Southeast Polk, Colfax-Mingo, and Bondurant School Districts, plus all of Pleasant Hill. Provides low-income families with food, clothing, and financial assistance. Hours: M/W/Th/F 11AM-3:30PM; Tue 11AM-4:30PM (appointments only).",,"602 3rd St SW, Altoona, IA 50009",41.649045,-93.471227,1,rooftop,"602 3rd St SW",,"Altoona, IA 50009",602,"3rd St SW",,,Altoona,IA,"Polk County",50009,US,"Statewide IA",gcod_usngxtsxctfzktj8ntb9ceqxfgwde,building_centroid
"Catholic Charities Counseling Program","Physical Location","Mental Health","601 Grand Avenue, 2nd Floor","Des Moines",IA,50309.0,"515.244.3761, 515.237.5053","Licensed clinical therapists address depression, anxiety, stress, relationship issues, child behavioral concerns, trauma, abuse, grief, and loss. Specializes in couples and family clinical systems.",https://www.catholiccharitiesdm.org/our-services/counseling/,"601 Grand Avenue, 2nd Floor, Des Moines, IA 50309",41.587939,-93.625758,1,rooftop,"601 Grand Ave","Fl 2","Des Moines, IA 50309",601,"Grand Ave",Fl,2,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnlre8muxksrlxh7lfngkb37qgeg-jyx5xvqty24bg,building_centroid
"Catholic Charities Food Pantry (DMARC)","Physical Location","Food Pantries","1815 Hubbell Avenue","Des Moines",IA,50316.0,515.262.7290,"Provides individuals and families up to three days worth of food for free. Also provides personal hygiene items, diapers, wipes, formula, and pet food. Hours: Mon-Thu 10 AM-3:30 PM, Fri 9:30 AM-12:30 PM.",http://dmarcunited.org,"1815 Hubbell Avenue, Des Moines, IA 50316",41.595973,-93.585689,1,rooftop,"1815 Hubbell Ave",,"Des Moines, IA 50316",1815,"Hubbell Ave",,,"Des Moines",IA,"Polk County",50316,US,"Statewide IA",gcod_usndhejrs6twxy7b9ulcrxs7cnyq9,building_centroid
"Center for Behavioral Health","Physical Location","Substance Abuse","95 University Ave. Suite 8","Des Moines",IA,50314.0,844.535.7291,"Substance abuse services, specifically offering methadone treatment options.",https://www.bhgrecovery.com/locations/des-moines,"95 University Ave. Suite 8, Des Moines, IA 50314",41.601299,-93.618066,1,rooftop,"95 University Ave","Ste 8","Des Moines, IA 50314",95,"University Ave",Ste,8,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnd88rxnpmsw8xdr9xyhz34kksk2-uc9hnpfjup532,building_centroid
"Central Community Center","Physical Location","Community Centers","2008 Forest Avenue","Des Moines",IA,50314.0,515.286.3677,"Crafts, games, exercise, health clinics, and other activities for seniors and other adults. Meals served on selected days (Serving Time: 11 AM-12:30 PM). Hours: Mon-Fri 8 AM-4:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/,"2008 Forest Avenue, Des Moines, IA 50314",41.603876,-93.644289,1,rooftop,"2008 Forest Ave",,"Des Moines, IA 50311",2008,"Forest Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usn8hyfw3ng39xkgfyyum8qg3mxp2,building_centroid
"Central Iowa Shelter & Services","Physical Location",Shelters,"1420 Mulberry Street","Des Moines",IA,50309.0,515.284.5719,"Provides low-barrier shelter, meals, and support services at no cost to adults experiencing homelessness. Call to confirm hours for food pantry, meals, clothing closet, health care, and showers.",https://centraliowashelter.org/,"1420 Mulberry Street, Des Moines, IA 50309",41.582541,-93.634452,1,rooftop,"1420 Mulberry St",,"Des Moines, IA 50309",1420,"Mulberry St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnzqgggudn6zfv7ctznd2t2heare,building_centroid
"Central Iowa Works","Physical Location","Job Assistance","200 Army Post Road","Des Moines",IA,50315.0,515.281.9619,"Helps with job placement, transportation logistics, health care access, and legal support system navigation.",https://workforce.iowa.gov/,"200 Army Post Road, Des Moines, IA 50315",41.525806,-93.618258,1,rooftop,"200 Army Post Rd",,"Des Moines, IA 50315",200,"Army Post Rd",,,"Des Moines",IA,"Polk County",50315,US,"Statewide IA",gcod_usnxdrye4kekur8d26mmjcnmxqzy5,building_centroid
"Central Library","Physical Location","Branch Locations","1000 Grand Avenue","Des Moines",IA,50309.0,"(515) 283-4152","In-Person Services: Mon-Thu 9 AM-8 PM, Fri 9 AM-6 PM, Sat 10 AM-5 PM, Sun 12 PM-4 PM. Pickup Window: Mon-Fri 12 PM-6 PM.",https://www.dmpl.org/locations-hours/central,"1000 Grand Avenue, Des Moines, IA 50309",41.586436,-93.630563,1,rooftop,"1000 Grand Ave",,"Des Moines, IA 50309",1000,"Grand Ave",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnlre8muxksrlxhnugqu73kh95xb,building_centroid
"Child Care Resource & Referral","Physical Location","Child Care","808 5th Avenue","Des Moines",IA,50309.0,515.246.3590,"Provides personalized services and regional consultation to help parents make informed choices about the care of their children.",https://iowaccrr.org/,"808 5th Avenue, Des Moines, IA 50309",41.591868,-93.62483,1,rooftop,"808 5th Ave",,"Des Moines, IA 50309",808,"5th Ave",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnzzzgtawlk9l96rtbr4w6e2bhve,building_centroid
"Children & Families of Iowa","Physical Location","General Assistance","1111 University Avenue","Des Moines",IA,50314.0,"515.288.1981, 515.243.6147","Affordable quality child care for low-income families (including before/after school and summer care with transport). Offers Domestic Violence Services Shelter (515.243.6147) and sliding-scale licensed counseling for grief/loss and life events.",https://cfiowa.org/,"1111 University Avenue, Des Moines, IA 50314",41.600639,-93.632411,1,rooftop,"1111 University Ave",,"Des Moines, IA 50314",1111,"University Ave",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnd88rxnpmsw8xdf7xn42yg2ka45,building_centroid
"Children & Family Urban Movement (CFUM)","Physical Location",Education,"1548 8th Street","Des Moines",IA,50314.0,515.282.3242,"Supports educational success for children and families near the north side of Des Moines via before-school, after-school, and summer programs. Hours: Mon-Fri 9 AM-5 PM. Meal Times: Mon-Fri 6:30 AM-7:40 AM and 4 PM-5 PM.",https://cfum.org,"1548 8th Street, Des Moines, IA 50314",41.607558,-93.628391,1,rooftop,"1548 8th St",,"Des Moines, IA 50314",1548,"8th St",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnakkqtwntzz9a4nmuuj9b3antga,building_centroid
"Children and Families of Iowa Northside Service Center","Physical Location","Substance Abuse","2331 East 8th St.","Des Moines",IA,50316.0,515.266.6338,"Offers substance abuse evaluation and treatment services for children, adolescents, and adults. Hours: Mon/Wed 9 AM-5 PM, Tue/Thu 9 AM-6 PM, Fri 9 AM-2 PM.",https://cfiowa.org/locations/northside/,"2331 East 8th St., Des Moines, IA 50316",41.616046,-93.607585,1,rooftop,"2331 E 8th St",,"Des Moines, IA 50316",2331,"E 8th St",,,"Des Moines",IA,"Polk County",50316,US,"Statewide IA",gcod_usnksybw5guksqqchxums6jkud87b,building_centroid
Childserve,"Physical Location",Disabilities,"644 24th Street","Des Moines",IA,50312.0,515.727.8750,"Partners with families to help children with special healthcare needs live a great life through specialized clinical, home, and community-based programs and services.",https://www.childserve.org/,"644 24th Street, Des Moines, IA 50312",41.588306,-93.650049,1,rooftop,"644 24th St",,"Des Moines, IA 50312",644,"24th St",,,"Des Moines",IA,"Polk County",50312,US,"Statewide IA",gcod_usnkf23wvalpkt247ml8bq3rbl8v2,building_centroid
"Choices Therapy Services","Physical Location","Substance Abuse","5609 Douglas Ave.","Des Moines",IA,50310.0,515.279.0111,"Offers substance abuse evaluations and outpatient treatment programs, as well as DOT reporting.",https://www.choicestherapyservices.org/,"5609 Douglas Ave., Des Moines, IA 50310",41.629611,-93.695599,1,rooftop,"5609 Douglas Ave",,"Des Moines, IA 50310",5609,"Douglas Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnn8grtw5atzz87djpaqhrf9j8b8,building_centroid
"Christ the King Free Clinic","Physical Location","Medical Assistance","5711 SW 9th Street","Des Moines",IA,50315.0,515.285.2888,"Services provided include chronic care management, well baby checks, school/athletic physicals, and available lab work. Hours: Monday 7 PM-9 PM (Registration starts at 6:30 PM).",,"5711 SW 9th Street, Des Moines, IA 50315",41.532345,-93.624918,1,rooftop,"5711 SW 9th St",,"Des Moines, IA 50315",5711,"SW 9th St",,,"Des Moines",IA,"Polk County",50315,US,"Statewide IA",gcod_usn4df4jqfh88n2ad82exapsb22pd,building_centroid
"Clearview Recovery","Physical Location","Substance Abuse","501 N. Sherman St.","Prairie City",IA,50228.0,515.994.3562,"Inpatient and residential addiction recovery services specialized for women, pregnant individuals, and women with children.",https://www.clearviewrecoveryinc.org/,"501 N. Sherman St., Prairie City, IA 50228",41.602355,-93.231945,1,rooftop,"501 N Sherman St",,"Prairie City, IA 50228",501,"N Sherman St",,,"Prairie City",IA,"Jasper County",50228,US,"Jasper County",gcod_usnct25mbzh3lmdb8x6tgtpgbcjef,building_centroid
"Client Assistance Program (CAP)","Physical Location",Disabilities,"321 E 12th Street","Des Moines",IA,50319.0,1.800.652.4298,"Advocates for people with disabilities to receive quality services. Helps individuals identify resources, understand formal procedures, resolve problems, and protect rights in the rehabilitation process, employment, and independent living services.",https://hhs.iowa.gov/programs/programs-and-services/client-assistance-program,"321 E 12th Street, Des Moines, IA 50319",41.591132,-93.601136,1,rooftop,"321 E 12th St",,"Des Moines, IA 50319",321,"E 12th St",,,"Des Moines",IA,"Polk County",50319,US,"Statewide IA",gcod_usnmdummzql6qr2eqn7rz97n6anr8,building_centroid
"Clive Community Services","Physical Location","General Assistance","2190 NW 82nd Street, Suite A",Clive,IA,50325.0,515.257.8550,"Free Clinic: Basic healthcare via volunteer professionals Mon 5:30 PM-7:30 PM (Registration 5 PM-6:30 PM). Food Pantry & Clothing Closet: Mon 4 PM-7 PM, Fri 9 AM-12 PM. Adult English Classes: Mon & Wed 1 PM-2:30 PM at Harbach Center (8505 Harbach Blvd).",,"2190 NW 82nd Street, Suite A, Clive, IA 50325",41.613792,-93.732267,1,rooftop,"2190 NW 82nd St","Ste A","Clive, IA 50325",2190,"NW 82nd St",Ste,A,Clive,IA,"Polk County",50325,US,"Statewide IA",gcod_usnbq275zcjs5x4bue88lfr89ndvf-x7945ylyeh738,building_centroid
"Commerce Community Church Food Bank","Physical Location","Food Pantries","4007 High Road","West Des Moines",IA,50265.0,515.225.6651,"Food Bank distribution services. Operational Hours: Thursdays 10 AM-2 PM.",http://smbcs.org/,"4007 High Road, West Des Moines, IA 50265",41.538371,-93.758471,0.72,rooftop,"4007 High St",,"West Des Moines, IA 50265",4007,"High St",,,"West Des Moines",IA,"Polk County",50265,US,"Statewide IA",gcod_usnt4wukba3g3vhhjkrsafmvqcghc,building_centroid
"Commodity Supplemental Foods Program","Physical Location","Food Pantries","2309 Euclid Ave.","Des Moines",IA,50310.0,515.286.3655,"Provides supplemental food commodities and intentional nutrition education tailored for the elderly ages 60 and older.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/,"2309 Euclid Ave., Des Moines, IA 50310",41.629163,-93.647795,1,rooftop,"2309 Euclid Ave",,"Des Moines, IA 50310",2309,"Euclid Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnydvaumqv9ln7csfj2j88v3tsz7,building_centroid
"Community and Family Resources","Physical Location","Substance Abuse","3806 Easton Boulevard","Des Moines",IA,50317.0,"515.262.0349, 800.801.0085","Provides structural residential substance use treatment programs.",https://www.cfrhelps.org/,"3806 Easton Boulevard, Des Moines, IA 50317",41.615332,-93.541435,1,rooftop,"3806 Easton Blvd",,"Des Moines, IA 50317",3806,"Easton Blvd",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usn64r5zh8z3lf688f6w7l5fgd5fb,building_centroid
"Community Support Advocates","Physical Location","Mental Health","1516 Valley West Drive","West Des Moines",IA,50266.0,515.883.1776,"Connects individuals with broader mental health and disability service systems, and hosts a dedicated regional behavioral health clinic.",,"1516 Valley West Drive, West Des Moines, IA 50266",41.575304,-93.696759,0.92,range_interpolation,"1516 N Valley Dr",,"Des Moines, IA 50312",1516,"N Valley Dr",,,"Des Moines",IA,"Polk County",50312,US,"TIGER/Line® from the US Census Bureau",gcod_usnemeam67vdtwva35gc6rq7nkspa,
"Community Youth Concepts","Physical Location",Education,"1446 Martin Luther King Jr Pkwy","Des Moines",IA,50314.0,515.243.4292,"Provides youth programming focused on empowering students with essential life skills, leadership, teamwork, and confidence. Features an on-site community fridge located in the white shed.",https://www.cyconcepts.org/,"1446 Martin Luther King Jr Pkwy, Des Moines, IA 50314",41.605741,-93.644072,1,rooftop,"1446 Martin Luther King Jr Pkwy",,"Des Moines, IA 50314",1446,"Martin Luther King Jr Pkwy",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnqmw9atx7lldzduhkncsylt2ype,building_centroid
"Compassionate Friends","Physical Location",Grief,"Hamilton's Children's Butterfly Garden Reception Room, 3601 Westown Parkway","West Des Moines",IA,50266.0,515.635.1678,"Self-help organization for bereaved families after the death of a child. Meets the first Tuesday of each month at 7:00 PM. Offers a lending library, newsletter, and sibling/grandparent support.",https://www.compassionatefriends.org/chapter/central-iowa-chapter/,"Hamilton's Children's Butterfly Garden Reception Room, 3601 Westown Parkway, West Des Moines, IA 50266",41.595252,-93.754917,0.83,rooftop,"3601 Westown Pkwy",,"West Des Moines, IA 50266",3601,"Westown Pkwy",,,"West Des Moines",IA,"Polk County",50266,US,"Statewide IA",gcod_usn3knhlbeepvxb459qltgyj8wj9e,building_centroid
"Conner Corinthian Family Health Free Clinic","Physical Location","Medical Assistance","814 School St.","Des Moines",IA,50309.0,515.630.0238,"Free health clinic operating every Saturday from 9 AM–11:30 AM. Patients are seen on a first-come, first-served basis.",https://www.facebook.com/CorinthianBCdsm/posts/the-conner-corinthian-family-hea...,"814 School St., Des Moines, IA 50309",41.594773,-93.628807,1,rooftop,"814 School St",,"Des Moines, IA 50309",814,"School St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usn39svt8sn7u876jw64yjphplq24,building_centroid
"Coping After a Suicide Support Group","Physical Location",Grief,"2309 Euclid Avenue","Des Moines",IA,50310.0,515.286.3434,"Offers a safe, confidential support group open to anyone (older teens and adults) surviving the loss of a loved one through suicide. Hosted by Polk County Crisis and Advocacy Services.",https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa...,"2309 Euclid Avenue, Des Moines, IA 50310",41.629163,-93.647795,1,rooftop,"2309 Euclid Ave",,"Des Moines, IA 50310",2309,"Euclid Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnydvaumqv9ln7csfj2j88v3tsz7,building_centroid
"Covert Action Treatment Facility","Physical Location","Substance Abuse","1223 Center St, Suite 22","Des Moines",IA,50309.0,515.218.6125,"Provides methadone and suboxone substance use treatment services.",https://mycovertaction.com/,"1223 Center St, Suite 22, Des Moines, IA 50309",41.591707,-93.633293,1,rooftop,"1223 Center St","Ste 22","Des Moines, IA 50309",1223,"Center St",Ste,22,"Des Moines",IA,"Polk County",50309,US,Polk,gcod_usn77284rx8s8gx57gx7z8y6h8fz2-fu5lebpma3wd8,
"Creative Visions","Physical Location","General Assistance","1343 13th Street","Des Moines",IA,50314.0,515.244.4003,"Umbrella programs include job readiness, GED tutorials, computer classes, financial assistance, crime victims assistance, a food pantry, and meal programs. Food Pantry: Tue/Thu. Meal Times: Mon–Thu 1:30 PM–7:30 PM.",http://cvonline.us/,"1343 13th Street, Des Moines, IA 50314",41.603712,-93.634013,1,rooftop,"1343 13th St",,"Des Moines, IA 50314",1343,"13th St",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usn7nf9fzabh6vycpdka7g54jblc8,building_centroid
"Crime Victim Assistance","Physical Location","General Assistance","1305 E. Walnut St.","Des Moines",IA,50319.0,"1.800.373.5044, 515.281.5044","Helps victims with certain out-of-pocket expenses related to injuries from violent crime. Funded entirely by offender fines and penalties, not by taxpayers.",https://www.iowaattorney.general.gov/for-crime-victims,"1305 E. Walnut St., Des Moines, IA 50319",41.590239,-93.599251,1,rooftop,"1305 E Walnut St",,"Des Moines, IA 50319",1305,"E Walnut St",,,"Des Moines",IA,"Polk County",50319,US,"Statewide IA",gcod_usn8wrq622jgabybddtecv6abatba,building_centroid
"Dads With a Purpose","Physical Location","Temporary Housing","2913 SW Ridgeview Lane",Ankeny,IA,50023.0,515.672.0973,"Faith-based sober living residential houses focused on transitional stability and being good fathers. Structured parenting classes are offered on-site.",https://www.dadswithapurposeia.com/home,"2913 SW Ridgeview Lane, Ankeny, IA 50023",41.699563,-93.646913,1,rooftop,"2913 SW Ridgeview Ln",,"Ankeny, IA 50023",2913,"SW Ridgeview Ln",,,Ankeny,IA,"Polk County",50023,US,"Statewide IA",gcod_usne77xyxkabprg88gecpu9alkqcc,building_centroid
"DART Mobile Food Pantry","Physical Location","Food Pantries","620 Cherry St","Des Moines",IA,50309.0,515.283.8100,"Mobile distribution sponsored by DMARC providing individuals and families up to three days' worth of food for free. Hours: Thursdays 4 PM–6 PM.",,"620 Cherry St, Des Moines, IA 50309",41.583703,-93.624554,1,rooftop,"620 Cherry St",,"Des Moines, IA 50309",620,"Cherry St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usndp9ra89ghn4pf9x2zh4lxarnm9,building_centroid
"DART Paratransit and Reduced Fare Programs","Physical Location",Disabilities,"620 Cherry Street","Des Moines",IA,50309.0,515.283.8100,"Paratransit provides specialized county service for seniors and individuals functionally unable to use standard bus routes. Reduced fare rates apply to elderly (65+), disabled individuals, Medicare card holders, veterans, students, and refugees. Hours: Mon–Sat 7 AM–5 PM.",https://www.ridedart.com/,"620 Cherry Street, Des Moines, IA 50309",41.583703,-93.624554,1,rooftop,"620 Cherry St",,"Des Moines, IA 50309",620,"Cherry St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usndp9ra89ghn4pf9x2zh4lxarnm9,building_centroid
"Des Moines Area Religious Council (DMARC) General","Physical Location","Food Pantries","100 Army Post Road","Des Moines",IA,50315.0,515-277-6969,"Provides individuals and families up to three days' worth of food for free. Food Pantry Hours: Monday-Friday 9 AM-5 PM, 1st Saturday of the month 9 AM-1 PM.",http://dmarcunited.org/food,"100 Army Post Road, Des Moines, IA 50315",41.526584,-93.617047,1,range_interpolation,"100 Army Post Rd",,"Des Moines, IA 50315",100,"Army Post Rd",,,"Des Moines",IA,"Polk County",50315,US,"TIGER/Line® from the US Census Bureau",gcod_usnxdrye4kekur8d7eg2yrksqzwnf,
