name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link
"Bethel Mission","Physical Location","Shelters","1310 6th Avenue","Des Moines","IA","50314","515.244.5445","Meals and Men's Shelter: Shelter for men; also serves three meals a day to all community members. Meal Hours: Mon-Sat Breakfast 7AM, Lunch 12PM, Dinner 5PM; Sun Breakfast 8AM, Lunch 1:30PM, Dinner 5PM. Part of Hope Ministries.","https://www.hopeiowa.org/"
"Bidwell Pantry","Physical Location","Food Pantries","1203 Hartford Avenue","Des Moines","IA","50315","515.989.8413","Food and clothing items available for free (ID preferred, but not required). Limited amount of food available without ID. Hours: Monday-Friday 10 AM-5 PM. Part of Families Forward.","https://www.familiesforward.org/bidwell-pantry."
"Big Brothers Big Sisters of Central Iowa","Physical Location","Education","2130 Grand Ave","Des Moines","IA","50312","515.288.9025","Creates and supports mentoring relationships that ignite the power and promise of youth at no cost. Intentional matching process evaluates personality and interests.",""
"Book Buddy","Virtual / Regional (No Address)","Education","","","","","","Helps children build pre-reading skills before kindergarten. Volunteers read one-on-one with four-year-olds at early childhood centers for 40 mins/week. Sign up via bookbuddy@unitedwaydm.org.","https://www.unitedwaydm.org/book-buddy."
"Boys & Girls Clubs of Central Iowa","Physical Location","Community Centers","1421 Walker St.","Des Moines","IA","50316","515.242.7925","Eight local sites where K-12 students find a safe, supportive place after school and during the summer with structured programming and professional role models.",""
"Brain Injury Association of Iowa","Virtual / Regional (No Address)","Disabilities","","","","","1.855.444.6443","Provides resource connection, technical navigation, and organized support groups for individuals surviving brain injuries and their families.","https://biaia.org/"
"Bridges of Iowa","Physical Location","Substance Abuse","Polk County Jail System / Admissions","Des Moines","IA","","515.494.8515","Full range of substance abuse treatment services targeted toward those with limited access to options. Program lasts up to a year and includes treatment, transitional living, and outpatient care. Admissions: dcoughlin@bridgesofia.org.",""
"Broadlawns Medical Center & Crisis Services","Physical Location","Medical Assistance","1801 Hickman Road","Des Moines","IA","50314","515.282.2200, 515.283.4811","Offers a complete safety-net medical center (medical, dental, eye, emergency, pharmacy, mental health). Includes Mental Health Emergency Crisis Team (515.283.4811), Crisis Observation Center (515.282.5742), and New Connections Addiction Treatment (515.282.6610).","https://www.broadlawns.org"
"By Degrees Foundation","Virtual / Regional (No Address)","Education","","","","","515.650.8230","Partners directly inside Findley and King Elementary and Harding Middle School to increase graduation and postsecondary readiness rates by engaging localized community partnerships.","https://www.bydegreesfoundation.org/"
"Capitol Hill Lutheran Church Clothes Closet","Physical Location","Clothing","511 Des Moines Street","Des Moines","IA","50309","515.513.4222","Clothes Closet distributes a variety of daily clothing items and essential household goods completely free of charge. Hours: Tuesday 1:30 PM-3:30 PM, Saturday 9:30 AM-11:30 AM.",""
"Caring Hands Altoona Food Pantry","Physical Location","Food Pantries","602 3rd St SW","Altoona","IA","50009","515.967.4533","Serves Southeast Polk, Colfax-Mingo, and Bondurant School Districts, plus all of Pleasant Hill. Provides low-income families with food, clothing, and financial assistance. Hours: M/W/Th/F 11AM-3:30PM; Tue 11AM-4:30PM (appointments only).",""
"Catholic Charities Counseling Program","Physical Location","Mental Health","601 Grand Avenue, 2nd Floor","Des Moines","IA","50309","515.244.3761, 515.237.5053","Licensed clinical therapists address depression, anxiety, stress, relationship issues, child behavioral concerns, trauma, abuse, grief, and loss. Specializes in couples and family clinical systems.","https://www.catholiccharitiesdm.org/our-services/counseling/"
"Catholic Charities Food Pantry (DMARC)","Physical Location","Food Pantries","1815 Hubbell Avenue","Des Moines","IA","50316","515.262.7290","Provides individuals and families up to three days worth of food for free. Also provides personal hygiene items, diapers, wipes, formula, and pet food. Hours: Mon-Thu 10 AM-3:30 PM, Fri 9:30 AM-12:30 PM.","http://dmarcunited.org"
"Center for Behavioral Health","Physical Location","Substance Abuse","95 University Ave. Suite 8","Des Moines","IA","50314","844.535.7291","Substance abuse services, specifically offering methadone treatment options.","https://www.bhgrecovery.com/locations/des-moines"
"Central Community Center","Physical Location","Community Centers","2008 Forest Avenue","Des Moines","IA","50314","515.286.3677","Crafts, games, exercise, health clinics, and other activities for seniors and other adults. Meals served on selected days (Serving Time: 11 AM-12:30 PM). Hours: Mon-Fri 8 AM-4:30 PM.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/"
"Central Iowa Shelter & Services","Physical Location","Shelters","1420 Mulberry Street","Des Moines","IA","50309","515.284.5719","Provides low-barrier shelter, meals, and support services at no cost to adults experiencing homelessness. Call to confirm hours for food pantry, meals, clothing closet, health care, and showers.","https://centraliowashelter.org/"
"Central Iowa Works","Physical Location","Job Assistance","200 Army Post Road","Des Moines","IA","50315","515.281.9619","Helps with job placement, transportation logistics, health care access, and legal support system navigation.","https://workforce.iowa.gov/"
"Central Library","Physical Location","Branch Locations","1000 Grand Avenue","Des Moines","IA","50309","(515) 283-4152","In-Person Services: Mon-Thu 9 AM-8 PM, Fri 9 AM-6 PM, Sat 10 AM-5 PM, Sun 12 PM-4 PM. Pickup Window: Mon-Fri 12 PM-6 PM.","https://www.dmpl.org/locations-hours/central"
"Change Course","Virtual / Regional (No Address)","Job Assistance","","","","","515.779.6108","Employment training, personal development, skill development, and one-on-one coaching sessions for individuals striving for career-track and high-wage jobs.","https://change-course.org/"
"Chic Behavioral Health and Community Services","Virtual / Regional (No Address)","Mental Health","","","","","319.504.3186","Provides programs for youth and families to navigate trauma. Includes group therapy for youth/teens, support groups for teen mothers, career exploration, financial literacy, and behavioral support.","https://chiccommunityservices.org/"
"Child and Dependent Adult Abuse Hotline","Virtual / Regional (No Address)","Hotlines","","","","","1.800.362.2178","24/7 hotline to report suspected abuse or neglect of a child under 18. Reports can be made anonymously. Be ready to provide identifying information and current location.","http://dhs.iowa.gov"
"Child Care Resource & Referral","Physical Location","Child Care","808 5th Avenue","Des Moines","IA","50309","515.246.3590","Provides personalized services and regional consultation to help parents make informed choices about the care of their children.","https://iowaccrr.org/"
"Children & Families of Iowa","Physical Location","General Assistance","1111 University Avenue","Des Moines","IA","50314","515.288.1981, 515.243.6147","Affordable quality child care for low-income families (including before/after school and summer care with transport). Offers Domestic Violence Services Shelter (515.243.6147) and sliding-scale licensed counseling for grief/loss and life events.","https://cfiowa.org/"
"Children & Family Urban Movement (CFUM)","Physical Location","Education","1548 8th Street","Des Moines","IA","50314","515.282.3242","Supports educational success for children and families near the north side of Des Moines via before-school, after-school, and summer programs. Hours: Mon-Fri 9 AM-5 PM. Meal Times: Mon-Fri 6:30 AM-7:40 AM and 4 PM-5 PM.","https://cfum.org"
"Children and Families of Iowa Northside Service Center","Physical Location","Substance Abuse","2331 East 8th St.","Des Moines","IA","50316","515.266.6338","Offers substance abuse evaluation and treatment services for children, adolescents, and adults. Hours: Mon/Wed 9 AM-5 PM, Tue/Thu 9 AM-6 PM, Fri 9 AM-2 PM.","https://cfiowa.org/locations/northside/"
"Childserve","Physical Location","Disabilities","644 24th Street","Des Moines","IA","50312","515.727.8750","Partners with families to help children with special healthcare needs live a great life through specialized clinical, home, and community-based programs and services.","https://www.childserve.org/"
"Choices Therapy Services","Physical Location","Substance Abuse","5609 Douglas Ave.","Des Moines","IA","50310","515.279.0111","Offers substance abuse evaluations and outpatient treatment programs, as well as DOT reporting.","https://www.choicestherapyservices.org/"
"Christ the King Free Clinic","Physical Location","Medical Assistance","5711 SW 9th Street","Des Moines","IA","50315","515.285.2888","Services provided include chronic care management, well baby checks, school/athletic physicals, and available lab work. Hours: Monday 7 PM-9 PM (Registration starts at 6:30 PM).",""
"Citizenshipworks","Virtual / Regional (No Address)","Immigrants & Refugees","","","","","","A national online service that safely guides users step-by-step through the citizenship application process. Provides free, live, online legal help. Resources available 24/7.","https://www.citizenshipworks.org/en"
"Clearview Recovery","Physical Location","Substance Abuse","501 N. Sherman St.","Prairie City","IA","50228","515.994.3562","Inpatient and residential addiction recovery services specialized for women, pregnant individuals, and women with children.","https://www.clearviewrecoveryinc.org/"
"Client Assistance Program (CAP)","Physical Location","Disabilities","321 E 12th Street","Des Moines","IA","50319","1.800.652.4298","Advocates for people with disabilities to receive quality services. Helps individuals identify resources, understand formal procedures, resolve problems, and protect rights in the rehabilitation process, employment, and independent living services.","https://hhs.iowa.gov/programs/programs-and-services/client-assistance-program"
"Clive Community Services","Physical Location","General Assistance","2190 NW 82nd Street, Suite A","Clive","IA","50325","515.257.8550","Free Clinic: Basic healthcare via volunteer professionals Mon 5:30 PM-7:30 PM (Registration 5 PM-6:30 PM). Food Pantry & Clothing Closet: Mon 4 PM-7 PM, Fri 9 AM-12 PM. Adult English Classes: Mon & Wed 1 PM-2:30 PM at Harbach Center (8505 Harbach Blvd).",""
"Commerce Community Church Food Bank","Physical Location","Food Pantries","4007 High Road","West Des Moines","IA","50265","515.225.6651","Food Bank distribution services. Operational Hours: Thursdays 10 AM-2 PM.","http://smbcs.org/"
"Commodity Supplemental Foods Program","Physical Location","Food Pantries","2309 Euclid Ave.","Des Moines","IA","50310","515.286.3655","Provides supplemental food commodities and intentional nutrition education tailored for the elderly ages 60 and older.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/"
"Community and Family Resources","Physical Location","Substance Abuse","3806 Easton Boulevard","Des Moines","IA","50317","515.262.0349, 800.801.0085","Provides structural residential substance use treatment programs.","https://www.cfrhelps.org/"
"Community Support Advocates","Physical Location","Mental Health","1516 Valley West Drive","West Des Moines","IA","50266","515.883.1776","Connects individuals with broader mental health and disability service systems, and hosts a dedicated regional behavioral health clinic.",""
"Community Youth Concepts","Physical Location","Education","1446 Martin Luther King Jr Pkwy","Des Moines","IA","50314","515.243.4292","Provides youth programming focused on empowering students with essential life skills, leadership, teamwork, and confidence. Features an on-site community fridge located in the white shed.","https://www.cyconcepts.org/"
"Compassionate Friends","Physical Location","Grief","Hamilton's Children's Butterfly Garden Reception Room, 3601 Westown Parkway","West Des Moines","IA","50266","515.635.1678","Self-help organization for bereaved families after the death of a child. Meets the first Tuesday of each month at 7:00 PM. Offers a lending library, newsletter, and sibling/grandparent support.","https://www.compassionatefriends.org/chapter/central-iowa-chapter/"
"Conner Corinthian Family Health Free Clinic","Physical Location","Medical Assistance","814 School St.","Des Moines","IA","50309","515.630.0238","Free health clinic operating every Saturday from 9 AM–11:30 AM. Patients are seen on a first-come, first-served basis.","https://www.facebook.com/CorinthianBCdsm/posts/the-conner-corinthian-family-hea..."
"Coping After a Suicide Support Group","Physical Location","Grief","2309 Euclid Avenue","Des Moines","IA","50310","515.286.3434","Offers a safe, confidential support group open to anyone (older teens and adults) surviving the loss of a loved one through suicide. Hosted by Polk County Crisis and Advocacy Services.","https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa..."
"Covert Action Treatment Facility","Physical Location","Substance Abuse","1223 Center St, Suite 22","Des Moines","IA","50309","515.218.6125","Provides methadone and suboxone substance use treatment services.","https://mycovertaction.com/"
"Creative Visions","Physical Location","General Assistance","1343 13th Street","Des Moines","IA","50314","515.244.4003","Umbrella programs include job readiness, GED tutorials, computer classes, financial assistance, crime victims assistance, a food pantry, and meal programs. Food Pantry: Tue/Thu. Meal Times: Mon–Thu 1:30 PM–7:30 PM.","http://cvonline.us/"
"Crime Victim Assistance","Physical Location","General Assistance","1305 E. Walnut St.","Des Moines","IA","50319","1.800.373.5044, 515.281.5044","Helps victims with certain out-of-pocket expenses related to injuries from violent crime. Funded entirely by offender fines and penalties, not by taxpayers.","https://www.iowaattorney.general.gov/for-crime-victims"
"Cross Outreach","Virtual / Regional (No Address)","Financial Assistance","","","","","515.279.9998","Financial Assistance Helpline: Can assist with rent, deposits, utility bills, laundromat vouchers, gift cards for emergency hygiene/food (households with children), and transitional storage costs. Hours: Mon–Fri 8:30 AM–4:30 PM. P.O. Box 12121.",""
"Dads With a Purpose","Physical Location","Temporary Housing","2913 SW Ridgeview Lane","Ankeny","IA","50023","515.672.0973","Faith-based sober living residential houses focused on transitional stability and being good fathers. Structured parenting classes are offered on-site.","https://www.dadswithapurposeia.com/home"
"DART Mobile Food Pantry","Physical Location","Food Pantries","620 Cherry St","Des Moines","IA","50309","515.283.8100","Mobile distribution sponsored by DMARC providing individuals and families up to three days' worth of food for free. Hours: Thursdays 4 PM–6 PM.",""
"DART Paratransit and Reduced Fare Programs","Physical Location","Disabilities","620 Cherry Street","Des Moines","IA","50309","515.283.8100","Paratransit provides specialized county service for seniors and individuals functionally unable to use standard bus routes. Reduced fare rates apply to elderly (65+), disabled individuals, Medicare card holders, veterans, students, and refugees. Hours: Mon–Sat 7 AM–5 PM.","https://www.ridedart.com/"
"Decoding Dyslexia Iowa","Virtual / Regional (No Address)","Education","","","","","","Aims to raise dyslexia awareness, empower families to support their children, and influence educators/policymakers on best identification and remediation practices. Contact via website form or email.","https://www.decodingdyslexiaiowa.org/"
"Des Moines Area Religious Council (DMARC) General","Physical Location","Food Pantries","100 Army Post Road","Des Moines","IA","50315","515-277-6969","Provides individuals and families up to three days' worth of food for free. Food Pantry Hours: Monday-Friday 9 AM-5 PM, 1st Saturday of the month 9 AM-1 PM.","http://dmarcunited.org/food"
"Des Moines Catholic Worker","Physical Location","General Assistance","1310 7th Street","Des Moines","IA","50314","515.214.1030","Provides free day-time shelter, meals, groceries, showers, toiletries, clothing, and phone use. Free groceries: Tuesday and Fridays at 3 PM. Canned goods and hygiene products available upon request. Hours: Tue/Thu/Fri 3 PM-6:30 PM; Sat 12 PM-2 PM; Sun 4:30 PM-7 PM.","https://www.facebook.com/people/The-Des-Moines-Catholic-Worker/100092212847355/#"
"Des Moines Narcotics Anonymous","Virtual / Regional (No Address)","Substance Abuse","","","","","515.784.0524","Des Moines group connecting people with the resources and tools they need to recover from opioid addiction. View website for upcoming meetings.","https://www.narcotics.com/na-meetings/iowa/des-moines/"
"Des Moines Pastoral Counseling Center","Physical Location","Mental Health","8553 Urbandale Ave","Urbandale","IA","50322","515.274.4006","Counseling providing understanding, hope, and healing for grief, anxiety, depression, stress, relationship, and parent-child issues. Take a mind, body, and spirit approach. Provides services through insurance or on a sliding-scale/ability-to-pay basis. Hours: Mon-Fri 8 AM-5 PM (evening hours available).","https://mindspiritcenter.org/"
"Des Moines Public Housing","Physical Location","Temporary Housing","2309 Euclid Avenue","Des Moines","IA","50310","515.323.8950","Provides subsidized rentals for eligible low- and moderate-income families and individuals. Part of the Municipal Housing Agency. Hours: Monday-Friday 8 AM-5 PM.","https://www.dsm.city/departments/housing/index.php"
"Des Moines Public Schools Bilingual Family Liaisons","Physical Location","Immigrants & Refugees","1000 Porter Avenue","Des Moines","IA","50315","515.242.7911","Provides a wide range of services to refugee and immigrant families. Connects families with community resources such as housing, healthcare, and essential needs and equips families with tools to advocate for their children.","https://www.dmschools.org/community-schools/bilingual-family-liaisons/"
"Des Moines Vet Center","Physical Location","Veteran Resources","1821 22nd Street Suite 115","West Des Moines","IA","50266","515.284.4929","Provides a broad range of counseling, outreach, and referral services to combat Veterans and their families. All services are completely free of cost and strictly confidential. Hours: Mon 8 AM-7:30 PM; Tue/Thu 7:30 AM-7:30 PM; Wed/Fri 8 AM-4:30 PM.","https://www.va.gov/des-moines-vet-center/"
"DHS Child Care Assistance","Physical Location","Child Care","2309 Euclid Avenue","Des Moines","IA","50310","1.866.448.4605","Child Care Assistance (CCA) helps pay for the care of your child while a parent or caretaker works, attends school, looks for work, or is unable to care for children due to medical reasons. Hours: Monday-Friday 8 AM-4:30 PM.","https://hhs.iowa.gov/assistance-programs/child-care-assistance"
"Disability Rights Iowa","Physical Location","Legal Assistance","666 Walnut St.","Des Moines","IA","50309","515.278.2502","Defends and promotes the human and legal rights of Iowans who have disabilities and mental illness. Focuses on self-advocacy education, non-legal advocacy, and legal/systems advocacy. Intake Hours: Monday-Friday 8 AM-5 PM.","https://disabilityrightsiowa.org/"
"Discovery House of Iowa","Virtual / Regional (No Address)","Temporary Housing","","","","","","Christian-based sober living house for men in the Des Moines area. Applications are handled online.","https://discoveryhouseia.com/"
"DMACC Adult English Language Learner Classes","Virtual / Regional (No Address)","Education","","","","","515.697.7762","Free program to move learners from a beginner level to a solid intermediate level of English communication proficiency, including listening, speaking, reading, and writing. Fill out online form to enroll. Hours vary.","https://www.dmacc.edu/ell"
"DMACC Adult Literacy Center","Physical Location","Education","1100 7th St. Building 1, Room 110","Des Moines","IA","50314","515.248.7517","Free service for any adult in the community who needs to improve reading, writing, and/or speaking skills. Adults meet one-to-one with a volunteer tutor and/or learn with an online learning program. Located at DMACC Urban Campus.","https://dmacc.edu/desmoines/adult-literacy-center.html"
"Door of Faith","Physical Location","Substance Abuse","6701 SW 9th Street","Des Moines","IA","50315","515.287.7414","A structured recovery program for men. Operated as a part of Hope Ministries services.","https://www.hopeiowa.org"
"Dorothy's House","Virtual / Regional (No Address)","General Assistance","","","","","","A safe place for survivors of human trafficking and exploitation to discover their healing journeys through the practice of life. Customized programs provide complete support for all survivors, regardless of race or gender. Fill out an application on the website to apply.","https://dorothyshouse.org/"
"Drake Head Start","Virtual / Regional (No Address)","Child Care","","","","","515.271.1854","Offers free preschool and other localized social services and developmental programs for children from birth through age 4.","https://drakeheadstart.org/"
"Drake Law School Legal Clinic","Physical Location","Legal Assistance","2400 University Avenue","Des Moines","IA","50311","515.271.3851","The General Civil Practice Clinic has two intake days per year, accepting family law cases (custody, divorce, decree modifications). The Elder Law Clinic accepts clients year-round, and the Refugee Law Clinic accepts clients as resources permit. Submit inquiries via phone or email (law-clinic@drake.edu).","https://www.drake.edu/law/clinics-centers/clinic/"
"Dress for Success","Physical Location","Clothing","7025 Hickman Road, Suite 3","Urbandale","IA","50322","515.288.0130","Women obtain what they need for an interview and can return once they find employment for the apparel and accessories needed to enter the workforce. Hours: Mon/Wed/Thu 9:30 AM-3:30 PM, Tue 9:30 AM-7:30 PM.","https://desmoines.dressforsuccess.org/"
"Early ACCESS","Virtual / Regional (No Address)","Child Care","","","","","1.888.425.4371, 515.242.8213","Works with families to identify unique child and family developmental needs for children birth to age 3. Determines eligibility for early intervention services and discovers what works best for each child. To make a referral, call the listed lines.","https://educateiowa.gov/pk-12/early-childhood/early-access"
"East Community Center","Physical Location","Community Centers","1231 E. 26th Street","Des Moines","IA","50317","515.265.8461","Crafts, games, exercise, health clinics, and other activities for seniors and other adults. Meals served on selected days (Serving Time: 11 AM-12:30 PM). Check calendar for details. Hours: Monday-Friday 8 AM-4:30 PM.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
"East Side Library","Physical Location","Branch Locations","2559 Hubbell Avenue","Des Moines","IA","50317","(515) 283-4152","In-Person Services: Monday-Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Closed Sunday.","/locations-hours/east-side"
"Easterseals","Physical Location","Disabilities","401 NE 66th Avenue","Des Moines","IA","50313","515.289.1933","Provides a wide range of services to ensure that all people with disabilities or special needs and their families have equal opportunities to live, learn, work, and play in their communities. Hours: Monday-Friday 8 AM-5 PM.","https://www.easterseals.com/ia/"
"Eastside Church of the Nazarene Pantry","Physical Location","Food Pantries","1451 E. 25th St.","Des Moines","IA","50317","515.265.6000","Food pantry distribution. Hours: Tuesday and Thursday 9 AM-10:30 AM (appointments only, call to schedule).","https://www.dsmeastside.org/?subpages/food%20pantry.shtml"
"Eastview Community Center","Physical Location","Community Centers","4101 East 42nd Street","Des Moines","IA","50317","515.809.2356","Owned and operated by Valley Church, offering a number of activities including fitness classes, community events, and serving opportunities. Food Pantry Hours: Tue/Wed 2 PM-5 PM, Thu 10 AM-12 PM, Fri 10 AM-2 PM.","http://www.eastviewcc.com/"
"Eddie Davis Community Center","Physical Location","Community Centers","1312 Maple St","West Des Moines","IA","50265","515.277.1103","Provides several neighborhood support services, including community meals and an active food pantry. Hours: Monday-Friday 12 PM-4 PM.","https://www.eddiedaviscenter.org/"
"Ellipsis","Physical Location","Shelters","918 SE 11th St","Des Moines","IA","50309","515.243.3459, 515.282.9377","Youth shelter providing a safe, supportive environment for kids of all ages. Offers diverse therapeutic and counseling services for emotional, behavioral, or substance use needs, alongside Transitional and Independent Living programs for young adults. 24/7 Crisis Line: 515.243.3459.","https://ellipsisiowa.org/"
"Embarc Refugee Parent Navigator Project","Physical Location","Immigrants & Refugees","4801 Franklin Ave. Suite 101","Des Moines","IA","50310","515.512.5252","Provides immigrant and refugee parents with peer-to-peer child development and parenting education to build problem-solving skills and navigate Western parenting norms. Also facilitates direct access to preschool and kindergarten registration. Hours: Mon-Fri 9 AM-5 PM.","http://www.embarciowa.org/"
"Employee & Family Resources","Physical Location","Mental Health","505 Fifth Avenue, Suite 600","Des Moines","IA","50309","1.800.327.4692","Provides structural counseling services to youth, adults, and families, including substance use disorder assessments and juvenile/adult referrals. Features an Employee Assistance Program with a 24/7 crisis hotline (1.800.327.4692). Hours: Mon-Thu 8 AM-5 PM, Fri 8 AM-4:30 PM.","http://www.efr.org/"
"Epworth United Methodist Church","Physical Location","General Assistance","412 Euclid Ave.","Des Moines","IA","50313","515.243.3817","Features a trained community ministry team providing long-term supportive services and reentry navigation for individuals released from prison. Also serves hot community meals on-site. Meal Times: Tuesdays 5:30 PM-6:30 PM, Saturdays 11 AM-12:30 PM. Office Hours: M/Tu/W/F 8:30 AM-12 PM.","http://www.epworthumc-desmoines.org/"
"Evelyn K Davis Center","Physical Location","Job Assistance","1171 7th Street","Des Moines","IA","50314","515.697.7700","Comprehensive career center offering job searches, interview coaching, resume prep, work readiness training, and Adult Based Education classes. Features 'Men on the Move Clothing Closet' (Tue-Fri 11 AM-2 PM by appointment), providing a personal shopping experience for career attire. Center Hours: Mon-Fri 8 AM-4:30 PM.","https://www.dmacc.edu/ekdc/programs.html"
"Everybody Wins! Iowa","Physical Location","Education","901 Walnut Street, School #315","Des Moines","IA","50309","515.277.7590","Matches volunteer reading mentors one-to-one with elementary students for weekly one-hour shared reading and conversation sessions. Programs operate during breakfast, lunch, after-school, or evening dinner hours across local schools and organizations.","https://everybodywinsiowa.org/"
"EveryStep Care and Support Services","Physical Location","Education","3000 Easton Boulevard","Des Moines","IA","50317","515.288.1516, 515.274.3400","Hosts the 'Play and Learn Program,' offering child-directed, playful learning activities for families with children ages 0-8 (includes a free book and healthy snack at each session). Organization also delivers home health, hospice care, and extensive clinical grief/loss support systems.","https://www.everystep.org/about/events"
"Eyerly Ball Community Mental Health Center","Physical Location","Mental Health","1319 Pennsylvania Ave.","Des Moines","IA","50316","515.241.0982","Community mental health center providing comprehensive treatment for individuals experiencing depression, anxiety, substance use, and chronic mental illness conditions. Hours: Monday-Friday 8 AM-4:30 PM.","https://www.unitypoint.org/locations/unitypoint-health---eyerly-ball"
"Families Forward/New Directions Shelter","Physical Location","Shelters","3001 Grand Avenue","Des Moines","IA","50312","515.244.9748, 515.243.7456","Provides free, immediate temporary emergency shelter and supportive resources for families with children experiencing homelessness (New Directions Shelter), alongside transitional and supportive housing programs to help families establish financial independence.","https://www.familiesforward.org/"
"Family Enrichment Center","Physical Location","General Assistance","2309 Euclid Avenue","Des Moines","IA","50310","515.286.3406","Delivers integrated family support services, educational tracking, skill training, and immediate employment connections to assist households in establishing economic stability and self-sufficiency.","https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa..."
"Family Self Sufficiency Program","Physical Location","General Assistance","2309 Euclid Avenue","Des Moines","IA","50310","515.323.8983, 515.323.8969","Coordinates public housing assistance with regional private development resources to enable participating lower-income households to build lasting economic independence. Administered as part of the Des Moines Municipal Housing Agency.","https://www.dsm.city/departments/housing/family_self sufficiency.php"
"Food Bank of Iowa","Virtual / Regional (No Address)","Food Pantries","2220 E 17th St","Des Moines","IA","50316","515.564.0330","Acts as a central supply hub that safely provides food logistics and commodities directly to other frontline organizations and regional food pantries serving neighbors in need. Neighbors looking for local public distribution sites should utilize the 'Find Food' tool on their website.","https://www.foodbankiowa.org/"
"Forest Avenue Library","Physical Location","Branch Locations","1326 Forest Ave.","Des Moines","IA","50314","(515) 283-4152","In-Person Services: Monday-Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Closed Sunday.","/locations-hours/forest-avenue"
"Fourmile Community Center","Physical Location","Community Centers","3711 Easton Boulevard","Des Moines","IA","50317","515.265.9977","Features community programs for all age brackets, including an on-site weight and fitness room, a public computer lab, and Polk County congregate senior meal services. Center Hours: 9 AM-3 PM. Meal Serving Time: 11 AM-12:30 PM.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
